,average_rate($),num_of_bedrooms,title_word_count,city,date_of_listing,description,latitude,longitude,title,url,Listing Month,Listing Year,lat_long,FullAddy
9943,161,3,9,Austin,Sep-09,"Very comfortable, welcoming 3 bedroom house fully furnished ready for your stay. The Neighborhood is safe and quite. Located within a mile of Interstate 35, quick to Downtown!",30.18028851,-97.76979793,NICE HOME 3 BR BUDGETARY CLOSE TO DOWNTOWN AUSTIN,https://www.airbnb.com/rooms/287303?location=Buda%2C%20TX,September,2009,"30.1802885099297,-97.76979792932029","1901 Tranquilo Trail, Austin, TX 78744, USA"
9944,75,1,4,Austin,Aug-14,"Nice peaceful space with two cats and 2 chickens ( no roosters) in back yard in quiet home. Available is bedroom with bath and kitchen to cook your own food . There is a deck out back to relax while you grill, if you'd like.",30.19573515,-97.81906468,peaceful space to chillax,https://www.airbnb.com/rooms/3939734?location=Buda%2C%20TX,August,2014,"30.1957351506415,-97.8190646839145","2503 Roehampton Dr, Austin, TX 78745, USA"
9959,19,1,4,Austin,May-15,"Space will make you feel like you are in India/Thailand. Very calm colors and tones. Quiet location, but 10-15 min drive to downtown or Metro rapid bus. Food &amp; shopping centers literally walking distance. Netflix included.",30.17236027,-97.80889667,New House Guest Room,https://www.airbnb.com/rooms/11006655?location=Buda%2C%20TX,May,2015,"30.172360270669103,-97.80889667202909","9404 Ocean Going Ct, Austin, TX 78748, USA"
9966,87,1,9,Austin,Sep-14,"If you'd like to stay in a newly built neighborhood and home, with 800 sq. ft. to yourself in South Austin, my spare room is perfect for you!\n\nIn addition to a comfortable queen-sized bed and private bathroom, you'll also get private use of our loft entertainment room, complete with Apple TV, Hulu, HBO Go, Netflix, our new speaker system, desk work area and 2 Lazy Boy reclining sofas. \n\nThere is safe, designated visitor parking in front of my home.",30.19971097,-97.80825509,"Modern Home- Private 2nd Floor, 7 mi. to Downtown",https://www.airbnb.com/rooms/15081156?location=Buda%2C%20TX,September,2014,"30.1997109702357,-97.80825508951021","2005 Matthews Ln, Austin, TX 78745, USA"
9985,89,1,5,Austin,Aug-15,"We built this cabin for friends and family to stay in. The design and decor was inspired by the early Texas homes in the Hill Country. It is almost entirely made from reclaimed wood, doors, windows, etc. It is small but very comfortable and unique. It's in our back yard under large old Live Oak trees.",30.24947281,-97.92115655,Newly built antique tiny house,https://www.airbnb.com/rooms/8143666?location=Bee%20Cave%2C%20TX,August,2015,"30.249472813443198,-97.9211565455802","7609 Thomas Springs Rd, Austin, TX 78736, USA"
9990,100,1,6,Austin,Aug-15,"Want to stay in the coolest part of Austin? Please check out our apartment! A lovely and private space at treetop level. Private entrance, covered outdoor porch, large interior space, high ceilings, tons of light from tall windows on all sides. Conveniently located in Zilker/SoLa, one of the best areas of Austin. Walking distance from great restaurants, bars, excellent coffee, shops, Zilker park, Barton Springs.",30.25156182,-97.77509106,Charming Tower of Light in Austin,https://www.airbnb.com/rooms/7662548?location=Brazos%20River%2C%20TX,August,2015,"30.251561817684998,-97.775091056346","2000 Bluebonnet Ln, Austin, TX 78704, USA"
9992,50,1,8,Austin,Feb-17,"One story home with 3 bedrooms and 2 bathrooms, fence in backyard. Close to shops, restaurants and bus line. Quiet neighborhood. You'll very comfortable, great appliances. 20 minutes from downtown Austin.",30.17372433,-97.79038109,I bedroom with private bathroom in South Austin.,https://www.airbnb.com/rooms/17239523?location=Buda%2C%20TX,February,2017,"30.1737243278673,-97.79038109309201","8602 Cullen Ln, Austin, TX 78748, USA"
9993,69,1,6,Austin,Mar-12,"Private comfortable room with an adjoining bath in a well furnished and equipped house with all amenities in a quiet attractive neighborhood. Room includes one queen size bed with night stand, closet and lamps. Bed and bath linen provided. Wireless Internet access available. Located in SW Austin close to major highways (Mopac &amp; I-35). Minutes away from shopping, banks, restaurants, movie theaters etc. 15 mins from downtown. 20 minutes to the airport. One block from Capitol Metro bus service 333 (public transportation). \nSouth by Southwest (SXSW) is an Austin, Texas based company dedicated to planning conferences, trade shows, festivals and other events. SXSW first began in 1987 and is centered on the downtown Austin Convention Center. Each of the three parts runs relatively independently, with different start and end dates. In 2011, the conference lasted for ten days, with interactive lasting for five, music for six, and film lasting the longest at nine days.\nAustin City Limits (often abbreviated as ACL) is an American public television music program recorded live in Austin, Texasby Public Broadcasting Service (PBS) Public television member station KLRU, and broadcast on many PBS stations around the United States. The show helped Austin to become widely known as \",30.22061531,-97.85833374,Private room in cozy home-SW Austin,https://www.airbnb.com/rooms/541814?location=Bee%20Cave%2C%20TX,March,2012,"30.2206153068158,-97.8583337357042","5400 Meg Brauer Way, Austin, TX 78749, USA"
10000,99,0,9,Austin,Feb-13,"The peaceful private backyard studio is close to everything - downtown, Lady Bird Lake, South Congress, Barton Springs, Zilker Park, Auditorium Shores, Palmer Auditorium, minutes from East Austin. You‰Ûªll love the place because of the unique space. Tucked under sprawling Southern Live Oaks trees it has incredible light, a lush queen-sized bed, comfy fold-out leather sofa bed. My place is ideal for couples, solo adventurers, business travelers, families (with kids), and it's pet friendly.",30.2512817,-97.75877777,*Zen private studio in the heart of South Austin*,https://www.airbnb.com/rooms/16157135?location=Brazos%20River%2C%20TX,February,2013,"30.251281696054,-97.7587777701104","1502 Bouldin Ave, Austin, TX 78704, USA"
10008,125,0,5,Austin,Jul-13,\,30.17061902,-97.76955429,"Agua Dulce Ranch, Casita #4",https://www.airbnb.com/rooms/16585918?location=Buda%2C%20TX,July,2013,"30.170619015221,-97.7695542862458","8100 Lockhart Dr, Austin, TX 78744, USA"
10010,99,1,10,Cedar Park,Jul-15,"This apartment is: \n* Just outside NW Austin city limits in Cedar Park\n* Convenient to all things Austin\n* Minutes from Lake Travis\n* Located a few minutes from the Austin Metro Rail\n* In an area where Uber and Lyft are available! \n* Walking distance to local parks, restaurants and dining\n* Down the street from one of the area's largest malls\n* A popular place because of location \n* Good for couples, solo adventurers, and business travelers\n* FREE WIFI",30.48437502,-97.83412433,Comfy NW Austin Suburb Apt near Metro Rail to Aus,https://www.airbnb.com/rooms/13153903?location=Bertram%2C%20TX,July,2015,"30.4843750193142,-97.83412432571691","1600 S Lakeline Blvd, Cedar Park, TX 78613, USA"
10028,57,1,7,Austin,Feb-16,"My place is close to the airport. You‰Ûªll love my place because of the high ceilings, the location, and the ambiance. My place is good for couples, solo adventurers, and business travelers.",30.19185475,-97.81509023,Quiet hideaway + $20 pickup/drop off option,https://www.airbnb.com/rooms/17734909?location=Buda%2C%20TX,February,2016,"30.191854753340603,-97.8150902260837","8111 Manassas Dr, Austin, TX 78745, USA"
10038,109,1,3,Austin,Dec-13,"As Stefan would say, this place has EVERYTHING! This 1/1 duplex apt is oh so close to Mopac (no, really!) &amp; Windsor. It has a mid-cent. modern vibe, int. brick walls, cool furniture, ALL up-to-date, 2 TVs w/ cable, wifi, cool patio, 3 mins to dtown.",30.29056785,-97.75910549,Sweet Central Suite!,https://www.airbnb.com/rooms/2049254?location=Brazos%20River%2C%20TX,December,2013,"30.2905678483178,-97.7591054924643","2321 Hartford Rd, Austin, TX 78703, USA"
10042,80,1,2,Austin,Apr-16,"My place is good for couples, solo adventurers, business travelers, and families (with kids).",30.23500266,-97.58571239,JD's Place,https://www.airbnb.com/rooms/15282898?location=Cedar%20Creek%2C%20TX,April,2016,"30.2350026593266,-97.58571239300501","3812 Pevetoe St, Austin, TX 78725, USA"
10049,117,1,4,Austin,Mar-11,"Located in the beautiful Travis Heights neighborhood, Flat 1005 is a fully furnished apartment with local charm. The popular South Congress Avenue is an easy walk, with convenient access to the downtown and Eastside. \n\nFlat ammenities: \nPrivate access \nCoffee &amp; Tea\nBedroom with king sized bed and closets\nLiving space (includes full-sized sofa bed) dining area, TV monitor connected to Roku\nEquipped Kitchen including full size refrigerator, microwave, gas range/oven, toaster, coffee maker, cookware, silverware and dishes \nFull bath with tub &amp; towels \nWireless Internet \nOff Street Parking\nHair dryer \nIron and ironing board\nOn street parking\n\nNeighborhood ammenities: \n2 blocks from Stacy Park \n(swimming pool open year round, walking trails/green belt, playground &amp; tennis courts)\n.5 mile from the Town Lake Hike &amp; Bike Trail (10 mile loop)\nPedestrian/bike friendly\n\nEats &amp; Drinks close by:\nWhip-In (Indian food) \nCurra's Grill (Mexican Food) \nGuero's (Tex Mex) \nHome Slice Pizza \nContinental Club and Lounge \nHotel San Jose Bar \nAmy's Ice Cream \nHop Doddy Burgers\nVespaio Italian Ristorante\nJo's Coffee\nPerlas Seafood\nFarm to Market Grocery\nlocal trailers with tacos &amp; more\n \nGreat locally-owned shops &amp; craft vendors\n\nFlat 1005 is located on our property, above the garage. Guests have private access. We live on the property and are available to answer questions anytime.",30.24303848,-97.74148707,Trendy Travis Heights Flat,https://www.airbnb.com/rooms/1255816?location=Brazos%20River%2C%20TX,March,2011,"30.243038476153604,-97.7414870665771","1700 Kenwood Ave, Austin, TX 78704, USA"
10055,50,1,5,Austin,Mar-14,"Beautiful, clean, private, modern duplex-like studio apartment in South Austin with private bedroom and bathroom. 2 separated twin beds across the room from one another. Separated beds are suitable for friends or if couples would like they can push the beds together. The apartment is connected to our home with its own private front entrance. About 7 miles to downtown, 9 miles to ACL Fest, 8 miles to Austin-Bergstrom Airport. Kitchenette with mini-fridge &amp; microwave.",30.19739931,-97.73045764,"In-Home Apt, Private Entry, Modern",https://www.airbnb.com/rooms/7747837?location=Brazos%20River%2C%20TX,March,2014,"30.1973993120051,-97.73045764463629","4622 Lyra Cir, Austin, TX 78744, USA"
10064,135,1,5,Austin,Feb-12,"Welcome to the very hip, unique and beautiful Eastside Cabana located in the heart of East Austin. Be close to everything this city has to offer while staying in a modern and airy home with many amenities and unique features. ",30.27874566,-97.7235917,"Eastside Cabana - Near UT,Downtown ",https://www.airbnb.com/rooms/349447?location=Brazos%20River%2C%20TX,February,2012,"30.278745658687896,-97.72359170326179","1801 Leona St, Austin, TX 78702, USA"
10065,149,1,7,Austin,Mar-12,"Modern, two-level loft in the heart of downtown Austin. Double bed, futon and air mattress. Full kitchen, walk-in closet and washer/dryer. One reserved parking spot, but you don't even need a car! No pets.",30.26359838,-97.74203747,Modern Loft in the Middle of Austin,https://www.airbnb.com/rooms/383689?location=Brazos%20River%2C%20TX,March,2012,"30.263598379166,-97.7420374650896","200 San Jacinto Blvd, Austin, TX 78701, USA"
10067,342,2,5,Austin,Jul-16,"A family vacation, romantic getaway, team building, or a fun trip with\nfriends? Enjoy Lake Travis on the fantastic ‰ÛÏLa Mala‰Û no matter what the\noccasion!\nThis spacious 3-level, 55-foot Airstream houseboat in Paradise Cove Marina\nhas undergone renovation and is complete with global style interiors, 1\nQueen bed, 2 double beds, 2 bathrooms, and elegant living and kitchen areas. \nIt also offers a pull-out single bed /couch, outdoor sleeping on the rooftop\nand is ideally suited for up to 6 people.",30.42165564,-97.94543101,New listing!Airstream houseboat Amazing LakeTravis,https://www.airbnb.com/rooms/18909908?location=Bee%20Cave%2C%20TX,July,2016,"30.4216556364917,-97.9454310137315","17125 Rocky Ridge Rd, Austin, TX 78734, USA"
10069,27,1,6,Kyle,Jun-16,Quiet neighborhood corner lot use of full kitchen and t.v. in rooms no cable WiFi available close to shops and restaurants only 20 minutes to Austin,29.96895863,-97.84805083,Private Bedroom with full size bed,https://www.airbnb.com/rooms/17572235?location=Buda%2C%20TX,June,2016,"29.9689586309018,-97.8480508289542","121 Gina Dr, Kyle, TX 78640, USA"
10088,40,1,3,Austin,Nov-16,"Comfortable guest room in a Parisian charm lovely home located in a safe and desirable South-West Austin neighborhood. Quick access to Highway 1 (mopac), and 15 minutes to downtown. Quiet and secluded, yet located just a stone-throw from major medical facilities, fabulous shoppings &amp; convenient services (including 24 hr Walmart), popular restaurants, major employers, fitness centers, walking trails, and natural parks",30.20418316,-97.85779352,Comfort elegant retreat,https://www.airbnb.com/rooms/19033233?location=Buda%2C%20TX,November,2016,"30.2041831580051,-97.85779351749251","8700 Barrow Glen Loop, Austin, TX 78749, USA"
10096,295,2,6,Austin,Sep-12,"Only 10 miles to the new Circuit of Americas F1 Gran Prix and 12 miles to Downtown Austin, UT, 6th Street and more. There is a corner store gas station, fast food and small grocery at the entrance of the neighborhood.\r\n\r\nOur house consists of 2 bedrooms, 2 full baths, a fully-equipped kitchen, a living room, an outside patio with gas BBQ, and a private back yard. \r\nThe rooms are equipped with one queen bed, one full size bed and one air mattress if it is needed. Wi-Fi Internet is available throughout. \r\n\r\nWe have street parking for one or two cars.\r\n\r\nOur house is non-smoking inside. If smoking outside please discard properly.\r\n",30.2321993,-97.58948969,F1 Fans - Great Location !!,https://www.airbnb.com/rooms/722575?location=Cedar%20Creek%2C%20TX,September,2012,"30.232199301009103,-97.58948969363001","14514 Cottingham Dr, Austin, TX 78725, USA"
10097,168,1,5,Austin,May-12,"Large, luxury condo in the heart of downtown Austin - experience Austin in style. \n\nIdeally situated at the junction between Austin's two hottest nightlife districts - head west into downtown-proper or head east to Austin's newest hip strip of bars and restaurants.",30.26666519,-97.73394663,Modern Oasis in Downtown Austin,https://www.airbnb.com/rooms/2967570?location=Brazos%20River%2C%20TX,May,2012,"30.266665187932897,-97.7339466339838","701 East Ave, Austin, TX 78702, USA"
10102,130,1,3,Austin,Jan-12,"Small (500 square feet), updated condo in small, quiet complex. The building is located right between the University of Texas campus and the state capitol on a lovely, tree lined street. Everything that downtown has to offer is right outside your door but the neighborhood is quiet, lined with many old homes that are now used for commercial purposes. \nThe condo has a studio setup with the bedroom being open to the living area. All of the units (18 total) in the building have been upgraded and they boast bamboo flooring, granite counters in the kitchen and bathroom, stainless steel appliances and new plumbing fixtures. There is a laundry room on each floor with top of the line appliances that are free to use.\nThere are several restaurants, bars, museums and shops in the immediate vicinity and it is an easy walk to most other places downtown.\nThere is free parking underneath the building.\n\nNote: By accepting the terms of AirBnB, the guests also assume the risk of all harm and or injury which may occur to the guests on the premises or use of facilities. The guest releases and holds the host harmless of any and all liability.\n\nAs much or as little as they would like.\n\nVery centrally located between the University of Texas and downtown. You can walk south down Nueces through the old residential part of Austin and will be at 6th Street in about 15 minutes. Cross MLK to the north and you are on the UT campus in five minutes. Arturos on San Antonio on 17th is great for breakfast and lunch, Clay Pit for Indian and the Dive Bar for drinks are all two blocks to the east.\n\nThere is a bus route on block away and a bike rental very near.\n\nFront Gate Code is 3719",30.27999528,-97.74403323,Downtown Austin Condo,https://www.airbnb.com/rooms/1080704?location=Brazos%20River%2C%20TX,January,2012,"30.2799952809934,-97.74403323313949","507 W 17th St, Austin, TX 78701, USA"
10112,50,1,4,Cedar Park,Dec-15,"Closing to shopping and restaurants in cedar park, a room is available in a 4 bedroom house. The room has a n attached bathroom.",30.51929358,-97.86360707,Bedroom with attached bathroom,https://www.airbnb.com/rooms/10209645?location=Bertram%2C%20TX,December,2015,"30.5192935837695,-97.86360706991779","1601 Ambling Trail, Cedar Park, TX 78613, USA"
10116,40,1,2,Kyle,Mar-17,"Adult couple, renting out room. We have two rooms available in front of home. We do have two cats, and a chi. weenie dog, who of course never set foot in guest rooms. Other than that down to earth kind of ppl. Thanks.",29.98416317,-97.8379572,Quiet home,https://www.airbnb.com/rooms/17604302?location=Buda%2C%20TX,March,2017,"29.9841631746458,-97.837957197808","1229 Twin Estates Dr, Kyle, TX 78640, USA"
10137,95,1,4,Austin,Sep-15,Get a taste of the true \,30.31307102,-97.71389134,Experience Austin Glamping! -#MotelCamper,https://www.airbnb.com/rooms/11369999?location=Brazos%20River%2C%20TX,September,2015,"30.313071021877303,-97.7138913420033","903 E 53rd St, Austin, TX 78751, USA"
10139,349,2,9,Austin,Aug-16,"Welcome to the Brushy Condo. I look forward to hosting you!\n\nThis is the perfect vacation rental in Downtown Austin! It is the ideal space for business travelers looking for a comfortable space to sleep and collaborate while still being extremely close/walking distance to the convention center and downtown. Perfect for travelers looking to take in the sights of Downtown Austin ‰ÛÒ 6th Street, Rainey Street, Convention Center, University of Texas, best BBQ in Austin, the best restaurants &amp; more!",30.26599163,-97.73534518,Stay on 6th Street - Walk to Convention Center,https://www.airbnb.com/rooms/15886011?location=Brazos%20River%2C%20TX,August,2016,"30.2659916269128,-97.73534517544658","719 Old Pecan St, Austin, TX 78701, USA"
10143,199,2,7,Austin,Jun-14,1000 sq. ft 2 bedroom space with a private pool! This is the first floor of our home and is completely separate from the rest of the house. You will have lake access which is right across the street. We also have 2 kayaks avaliable for use.,30.41650414,-97.88942629,2 bedrm Private Pool on Lake Travis,https://www.airbnb.com/rooms/3230604?location=Brazos%20River%2C%20TX,June,2014,"30.4165041392608,-97.8894262941448","13905 Skyline Dr, Austin, TX 78732, USA"
10144,155,1,6,Buda,Nov-15,"It's a room in a home in a private neighborhood. Safe and secure, family lives in home but your area will be separate and private.",30.06507215,-97.8033949,1 Bedroom in Private Buda Home,https://www.airbnb.com/rooms/11459785?location=Buda%2C%20TX,November,2015,"30.065072150199104,-97.8033948951141","1580 FM2001, Buda, TX 78610, USA"
10147,25,1,4,Kyle,Jun-16,Full size bed available use of 1.5 bath and WiFi come and go as you please. Usually there are 2 bedrooms available at this property so couples traveling together can stay together,29.96889788,-97.8476646,Private room in Kyle,https://www.airbnb.com/rooms/17572206?location=Buda%2C%20TX,June,2016,"29.9688978835697,-97.8476645993674","161 Gina Dr, Kyle, TX 78640, USA"
10156,65,1,6,Austin,May-16,"My place is close to art and culture, restaurants and dining, and family-friendly activities,downtown and Zilker Park. You‰Ûªll love my place because of downtown, , the ambiance, the light, the neighborhood, the outdoors space. My place is good for couples, solo adventurers, and business travelers.",30.14579922,-97.80639161,Private Spacious Bedroom in S Austin,https://www.airbnb.com/rooms/15511799?location=Buda%2C%20TX,May,2016,"30.145799224924396,-97.80639161432029","11101 Desert Willow Loop, Austin, TX 78748, USA"
10165,150,1,3,Kyle,Oct-15,"My place is close to Restaurants, Shopping Centers, Seton Hospital, IH 35, San Marcos Outlet Mall. You‰Ûªll love my place because of the coziness, the location, and the people. My place is good for couples, solo adventurers, and business travelers.",30.00440907,-97.86260081,Your Perfect Getaway,https://www.airbnb.com/rooms/17683079?location=Buda%2C%20TX,October,2015,"30.0044090701775,-97.8626008149075","167 Retama, Kyle, TX 78640, USA"
10167,35,1,9,Austin,Jun-13,"Thanks for stopping by! Our home is located in a quiet subdivision off of South Congress in South Austin. It's right next to I-35 which makes it super accessible coming to and from. The house is about 8 miles from the downtown area! You will have a private bedroom with a full size bed, closet w/hangers, access to the new washer/dryer and a private full bathroom.",30.17652375,-97.78688585,Our house is your house! Private bath included :),https://www.airbnb.com/rooms/10386171?location=Buda%2C%20TX,June,2013,"30.176523753763103,-97.7868858464591","208 Hubach Ln, Austin, TX 78748, USA"
10169,200,1,5,Buda,Jun-11,"Large house located 12 miles from downtown, easy access to the highway, private room and bathroom asking $200/night rental.\n",30.06014314,-97.82755978,Room for Rent for SXSW,https://www.airbnb.com/rooms/2431585?location=Buda%2C%20TX,June,2011,"30.0601431449453,-97.8275597757065","156 Dolomite Dr, Buda, TX 78610, USA"
10172,90,1,6,Austin,May-14,"Roomy, private suite only 20 min to the center of Austin or the airport. On a lovely resort-like acre; relax around the pool, stroll through the live oaks, play a little music or grill on the barbecue. South Austin perfection.",30.22594185,-97.92948391,S. Austin Suite close-in with pool,https://www.airbnb.com/rooms/10451710?location=Brazos%20River%2C%20TX,May,2014,"30.2259418480125,-97.9294839142128","9604 Flintrock Cir, Austin, TX 78737, USA"
10176,79,1,5,Cedar Park,May-16,"Look no further! Whitetail Cottage is perfect for travelers of all sorts! Our guests and friends regularly comment on how beautiful, peaceful, and relaxing it is here and we completely agree.\n\nIt's in a great location for sight-seeing, situated between 2 major freeways,I35 and 183, 30 minutes from Austin, and 5-10 minutes from shopping, theaters, grocery stores, restaurants, and coffee shops (Starbucks? 5 minutes away!). \n\nBe our guest! We know you will love it here and want to come back!",30.53593191,-97.76491025,Designed for Relaxation and Fun!!!,https://www.airbnb.com/rooms/17479067?location=Bertram%2C%20TX,May,2016,"30.535931905409196,-97.76491024802799","138 Raley Rd, Cedar Park, TX 78613, USA"
10187,92,0,6,Austin,Dec-14,"Modern, light-filled tiny house in central Austin has all the amenities of a hotel room but in a quiet neighborhood near UT. Perfect for 2 people, it's an easy walk to restaurants, bars and music, and a short drive to downtown, east side and SOCO.",30.30997879,-97.75689353,"Open, Airy Tiny House-Central & UT!",https://www.airbnb.com/rooms/4906733?location=Brazos%20River%2C%20TX,December,2014,"30.309978787548598,-97.75689353467492","3500 Jackson Ave, Austin, TX 78731, USA"
10188,69,1,7,Austin,Oct-14,"Welcome! 1.5 miles to downtown and famous SoCo area, this beautiful and sparkling clean Airstream brings comfort to camping in an Urban environment. Its got AC/Heat as well as a really comfy, firm bed. For fun, there's a large secluded backyard with a picnic table, fire pit and more. You will have access to downtown night life, ACL and SXSW in minutes.\nWe try to greet each guest to explain how to operate things but for late checkins please read \",30.22948577,-97.74433977,The SoCo Airstream is so fun! #23,https://www.airbnb.com/rooms/11330408?location=Brazos%20River%2C%20TX,October,2014,"30.2294857724783,-97.74433977301729","2702 S IH 35 Frontage Rd, Austin, TX 78704, USA"
10190,50,1,5,Austin,Feb-17,"My place is good for couples, solo adventurers, and business travelers.",30.15766354,-97.81240415,Private Upstairs in Chill Home,https://www.airbnb.com/rooms/17075275?location=Buda%2C%20TX,February,2017,"30.1576635447338,-97.8124041455728","10519 Archdale Dr, Austin, TX 78748, USA"
10191,127,3,7,Cedar Park,Nov-16,"The house is closed to parks, great views, restaurants and dining, and art and culture. You‰Ûªll love my place because of the comfy bed, the kitchen, the coziness, and the light. My place is good for couples, solo adventurers, business travelers, families (with kids), and big groups. It is also very convent location that close to Lakeline mall, major highways, super market.",30.4930825,-97.84398261,Cozy Convenient Spacious home close to evenything,https://www.airbnb.com/rooms/16929672?location=Bertram%2C%20TX,November,2016,"30.493082497156802,-97.84398261210029","707 Sheila Dr, Cedar Park, TX 78613, USA"
10204,150,1,9,Austin,Dec-15,"My place is close to restaurants and dining. You‰Ûªll love my place because of the location, the high ceilings, and the coziness. My place is good for couples, solo adventurers, and business travelers.",30.19209729,-97.87837909,Private room to aid in your South Austin visit.,https://www.airbnb.com/rooms/15657252?location=Buda%2C%20TX,December,2015,"30.1920972901916,-97.87837908848628","5511 Ballenton Ln, Austin, TX 78739, USA"
10206,65,1,4,Austin,Jan-15,"The Lone Star Suite is a brand new, comfortable space in our private home that offers a queen size bed, refrigerator, Keurig coffee maker, Wi-Fi, Netflix, desk area and full private bathroom. Guest have available parking on premises and quick access to major highways and public transportation. We hope you enjoy our city and all that it has to offer.",30.1733607,-97.81059849,The Lone Star Suite,https://www.airbnb.com/rooms/10391756?location=Buda%2C%20TX,January,2015,"30.1733607012338,-97.8105984925822","1013 W Slaughter Ln, Austin, TX 78748, USA"
10208,187,4,8,Austin,Aug-14,"Come sit by the fire in this cozy family home, 15 minutes away from the excitement of downtown Austin. This is our home, so decor will reflect family and the unique personalities of each of us. We hope you enjoy your stay!",30.18292776,-97.89171089,"Circle C Ranch Home, 15 Minutes from Downtown",https://www.airbnb.com/rooms/16476468?location=Buda%2C%20TX,August,2014,"30.182927756294998,-97.89171089102409","5909 Savin Hill Ct, Austin, TX 78739, USA"
10213,137,3,4,Austin,May-17,"Hello all,\n\nMy home is located south Austin, just 15-20 minute drive to downtown. Great space for family's or a group of friends. Please make yourself at home and enjoy:)",30.14937268,-97.84814941,Condominium at the Gabardine,https://www.airbnb.com/rooms/18498458?location=Buda%2C%20TX,May,2017,"30.1493726819718,-97.8481494066231","2411 Frate Barker Rd, Austin, TX 78748, USA"
10215,239,3,5,Austin,Mar-17,"Family cozy launchpad for your family vaction. Not good for small children. 10 min from downtown and grocery store 1 mile away. Full kitchen with coffee pot, microwave/convection oven.",30.18675215,-97.89423031,Graduation/Vacation is coming NICE3bd/2.5bath home,https://www.airbnb.com/rooms/17522639?location=Bee%20Cave%2C%20TX,March,2017,"30.186752149752003,-97.8942303084964","6563 Needham Ln, Austin, TX 78739, USA"
10219,120,2,3,Austin,Apr-11,"Listing is for ENTIRE house.\n2 bd/1 ba \nCan fit 4 comfortably &amp; 1 more in the living room.\n++Please read ENTIRE description++\n1.5 miles from downtown.\n3 blks from Lake.\nNear bus lines.\nWalk to juice bar, coffee shops, bars &amp; restaurants.",30.24839855,-97.72301922,Eastside Art Bungalow,https://www.airbnb.com/rooms/2149762?location=Brazos%20River%2C%20TX,April,2011,"30.2483985466678,-97.7230192210248","34 Robert T Martinez Jr St, Austin, TX 78702, USA"
10226,200,1,5,Austin,Sep-13,"Heine Farm is a functioning ranch and organic farm located less than a mile away from the Circuit of the Americas‰ã¢.\nFor those of you that want to be nearby the racetrack, park your RV at this private, exclusive property (only taking 15 reservations) just north of the Main Grandstands.",30.15751518,-97.63889959,F1 - RV/Trailer Parking +Amenities,https://www.airbnb.com/rooms/1696008?location=Cedar%20Creek%2C%20TX,September,2013,"30.1575151840027,-97.6388995910298","7110 Heine Farm Rd, Del Valle, TX 78617, USA"
10233,195,3,4,Austin,Oct-15,"Our modern and comfortable home is a great stay. This 3/2 home features new appliances, large back yard, home gym, and wood floors. Nestled in gorgeous south Austin, with three parks within five miles. Sleeping space includes one king size bed, a full size bed, air mattress, and couch.",30.17281442,-97.75930812,Cute South Austin Home,https://www.airbnb.com/rooms/8954301?location=Buda%2C%20TX,October,2015,"30.1728144166726,-97.7593081241717","4607 Quicksilver Blvd, Austin, TX 78744, USA"
10244,35,1,7,Austin,Oct-15,"My place is close to the airport, public transport, parks, Circuit of The Americas, Austin360 Amphitheater, downtown and shopping centers. \n\nYou‰Ûªll love my place because of the neighborhood, the comfy bed, the outdoor space, the kitchen, privacy, central location and how quiet it is. \n\nMy place is good for couples, solo adventurers and business travelers.",30.16477384,-97.73390305,Relaxing Austin Private Bed & Bath #1,https://www.airbnb.com/rooms/14167742?location=Buda%2C%20TX,October,2015,"30.164773843855098,-97.73390304880631","7202 Janes Ranch Rd, Austin, TX 78744, USA"
10250,60,1,5,Austin,Mar-12,"Quiet and comfortable home where you can unwind and relax. Backyard equipped with a jacuzzi, hammocks and a grill that you can use. I have 3 friendly cats who come in and out of the house and are ready to welcome you :D Free Wifi and breakfast incl.",30.17795318,-97.8248762,COZY BEDROOM IN S. AUSTIN,https://www.airbnb.com/rooms/8780307?location=Buda%2C%20TX,March,2012,"30.177953175858196,-97.8248762038948","2203 Tanglevine Dr, Austin, TX 78748, USA"
10258,275,3,10,Buda,Feb-15,"Hello! Come stay here! Gorgeous tree filled lot, quiet country setting, remodeled comfy home, and only 15 miles to Downtown Austin &amp; 15 minutes to San Marcos. Swim and Float the MANY rivers nearby.A few of the places close by: Circuit of the Americas complex (F1, COTA), Austin 360 Amphitheater, Austin City Limits, SXSW Events, &amp; TONS more. Sit outside at night and see the STARS! All wood floors, gourmet kitchen, custom tiled baths, HUGE back yard to enjoy day or night. Hope 2 CU soon!",30.06794893,-97.81729408,Beautiful Home & Yard - CLOSE TO TONS OF FUN!,https://www.airbnb.com/rooms/11513639?location=Buda%2C%20TX,February,2015,"30.067948926252605,-97.8172940793486","116 Old West Trail, Buda, TX 78610, USA"
10269,120,1,3,Buda,Feb-15,Cabin nestled between the Live Oaks on 11 acres \n ,30.07205616,-97.92037629,Hill Country Cabin,https://www.airbnb.com/rooms/5367201?location=Buda%2C%20TX,February,2015,"30.0720561630406,-97.9203762908002","359 Bartlett Dr W, Buda, TX 78610, USA"
